HDG;PITCH;ROLL;ALT;EW_POS;NS_POS
-94.27 ; 7.46 ; 9.73 ; 1088.259033203125 ; 2231.26953125 ; 3923.5322265625
-94.16 ; 7.48 ; 9.73 ; 1088.6348876953125 ; 2237.6142578125 ; 3924.0537109375
-94.05 ; 7.49 ; 9.73 ; 1089.0106201171875 ; 2243.8720703125 ; 3924.5751953125
-93.94 ; 7.5 ; 9.73 ; 1089.3863525390625 ; 2250.2177734375 ; 3925.18359375
-93.83 ; 7.5 ; 9.75 ; 1089.76220703125 ; 2256.5625 ; 3925.6181640625
-93.72 ; 7.51 ; 9.76 ; 1090.138671875 ; 2262.8203125 ; 3926.1396484375
-93.61 ; 7.52 ; 9.76 ; 1090.5159912109375 ; 2269.1650390625 ; 3926.4873046875
-93.5 ; 7.52 ; 9.78 ; 1090.8934326171875 ; 2275.5107421875 ; 3927.0087890625
-93.4 ; 7.52 ; 9.79 ; 1091.271484375 ; 2281.85546875 ; 3927.443359375
-93.29 ; 7.54 ; 9.81 ; 1091.649658203125 ; 2288.11328125 ; 3927.791015625
-93.18 ; 7.57 ; 9.82 ; 1092.028564453125 ; 2294.458984375 ; 3928.2255859375
-93.05 ; 7.61 ; 9.84 ; 1092.408203125 ; 2300.8037109375 ; 3928.66015625
-92.94 ; 7.68 ; 9.85 ; 1092.7886962890625 ; 2307.1484375 ; 3929.0078125
-92.82 ; 7.76 ; 9.87 ; 1093.1715087890625 ; 2313.4931640625 ; 3929.35546875
-92.69 ; 7.85 ; 9.89 ; 1093.556640625 ; 2319.751953125 ; 3929.703125
-92.57 ; 7.95 ; 9.9 ; 1093.9456787109375 ; 2326.0966796875 ; 3930.05078125
-92.44 ; 8.04 ; 9.9 ; 1094.338623046875 ; 2332.44140625 ; 3930.3984375
-92.32 ; 8.13 ; 9.92 ; 1094.737060546875 ; 2338.787109375 ; 3930.74609375
-92.19 ; 8.21 ; 9.93 ; 1095.14013671875 ; 2345.1318359375 ; 3931.0068359375
-92.07 ; 8.3 ; 9.93 ; 1095.5487060546875 ; 2351.3896484375 ; 3931.267578125
-91.94 ; 8.37 ; 9.93 ; 1095.9627685546875 ; 2357.734375 ; 3931.5283203125
-91.82 ; 8.43 ; 9.92 ; 1096.3839111328125 ; 2364.080078125 ; 3931.7890625
-91.69 ; 8.48 ; 9.92 ; 1096.81201171875 ; 2370.4248046875 ; 3932.0498046875
-91.58 ; 8.47 ; 9.89 ; 1097.246337890625 ; 2376.76953125 ; 3932.3974609375
-91.47 ; 8.48 ; 9.84 ; 1097.68701171875 ; 2383.115234375 ; 3932.484375
-91.36 ; 8.44 ; 9.76 ; 1098.1314697265625 ; 2389.4599609375 ; 3932.7451171875
-91.25 ; 8.38 ; 9.68 ; 1098.5806884765625 ; 2395.7177734375 ; 3932.9189453125
-91.16 ; 8.28 ; 9.57 ; 1099.0322265625 ; 2402.0625 ; 3933.1796875
-91.07 ; 8.15 ; 9.43 ; 1099.4853515625 ; 2408.408203125 ; 3933.353515625
-90.97 ; 8.0 ; 9.29 ; 1099.9384765625 ; 2414.7529296875 ; 3933.4404296875
-90.9 ; 7.79 ; 9.12 ; 1100.3892822265625 ; 2421.09765625 ; 3933.6142578125
-90.82 ; 7.63 ; 8.92 ; 1100.8369140625 ; 2427.3564453125 ; 3933.701171875
-90.72 ; 7.47 ; 8.7 ; 1101.2767333984375 ; 2433.701171875 ; 3933.875
-90.65 ; 7.31 ; 8.46 ; 1101.7110595703125 ; 2439.958984375 ; 3933.9619140625
-90.55 ; 7.16 ; 8.21 ; 1102.1368408203125 ; 2446.390625 ; 3934.1357421875
-90.47 ; 7.01 ; 7.95 ; 1102.5548095703125 ; 2452.736328125 ; 3934.22265625
-90.38 ; 6.88 ; 7.67 ; 1102.962646484375 ; 2459.0810546875 ; 3934.3095703125
-90.3 ; 6.76 ; 7.39 ; 1103.3594970703125 ; 2465.42578125 ; 3934.396484375
-90.21 ; 6.64 ; 7.09 ; 1103.747802734375 ; 2471.771484375 ; 3934.5703125
-90.13 ; 6.54 ; 6.78 ; 1104.1243896484375 ; 2478.029296875 ; 3934.5703125
-90.05 ; 6.44 ; 6.46 ; 1104.49072265625 ; 2484.3740234375 ; 3934.5703125
-89.96 ; 6.36 ; 6.14 ; 1104.84619140625 ; 2490.71875 ; 3934.5703125
-89.88 ; 6.29 ; 5.81 ; 1105.1915283203125 ; 2497.1513671875 ; 3934.6572265625
-89.8 ; 6.24 ; 5.48 ; 1105.526611328125 ; 2503.4091796875 ; 3934.744140625
-89.74 ; 6.2 ; 5.14 ; 1105.8516845703125 ; 2509.75390625 ; 3934.744140625
-89.66 ; 6.19 ; 4.79 ; 1106.16796875 ; 2516.1865234375 ; 3934.744140625
-89.58 ; 6.19 ; 4.46 ; 1106.4774169921875 ; 2522.4443359375 ; 3934.744140625
-89.52 ; 6.2 ; 4.14 ; 1106.7789306640625 ; 2528.8759765625 ; 3934.6572265625
-89.46 ; 6.23 ; 3.81 ; 1107.073486328125 ; 2535.220703125 ; 3934.744140625
-89.4 ; 6.27 ; 3.5 ; 1107.36328125 ; 2541.6533203125 ; 3934.744140625
-89.33 ; 6.33 ; 3.21 ; 1107.649169921875 ; 2547.9111328125 ; 3934.744140625
-89.29 ; 6.39 ; 2.93 ; 1107.9312744140625 ; 2554.3427734375 ; 3934.6572265625
-89.24 ; 6.46 ; 2.7 ; 1108.211669921875 ; 2560.775390625 ; 3934.5703125
-89.19 ; 6.54 ; 2.46 ; 1108.4913330078125 ; 2567.1201171875 ; 3934.5703125
-89.15 ; 6.62 ; 2.26 ; 1108.7718505859375 ; 2573.46484375 ; 3934.4833984375
-89.11 ; 6.72 ; 2.09 ; 1109.0531005859375 ; 2579.8095703125 ; 3934.4833984375
-89.08 ; 6.83 ; 1.93 ; 1109.336669921875 ; 2586.1552734375 ; 3934.396484375
-89.05 ; 6.94 ; 1.81 ; 1109.62255859375 ; 2592.5869140625 ; 3934.3095703125
-89.02 ; 7.06 ; 1.7 ; 1109.9132080078125 ; 2599.0185546875 ; 3934.22265625
-88.99 ; 7.18 ; 1.6 ; 1110.2100830078125 ; 2605.3642578125 ; 3934.1357421875
-88.97 ; 7.29 ; 1.51 ; 1110.512451171875 ; 2611.708984375 ; 3934.048828125
-88.94 ; 7.41 ; 1.46 ; 1110.82177734375 ; 2618.140625 ; 3933.9619140625
-88.93 ; 7.53 ; 1.42 ; 1111.1397705078125 ; 2624.4853515625 ; 3933.875
-88.91 ; 7.66 ; 1.37 ; 1111.465576171875 ; 2630.8310546875 ; 3933.7880859375
-88.9 ; 7.77 ; 1.34 ; 1111.7999267578125 ; 2637.2626953125 ; 3933.701171875
-88.88 ; 7.89 ; 1.31 ; 1112.142822265625 ; 2643.607421875 ; 3933.6142578125
-88.86 ; 8.0 ; 1.28 ; 1112.4967041015625 ; 2649.953125 ; 3933.52734375
-88.85 ; 8.11 ; 1.26 ; 1112.8599853515625 ; 2656.384765625 ; 3933.4404296875
-88.83 ; 8.21 ; 1.23 ; 1113.2333984375 ; 2662.7294921875 ; 3933.353515625
-88.82 ; 8.31 ; 1.21 ; 1113.6170654296875 ; 2669.07421875 ; 3933.2666015625
-88.8 ; 8.41 ; 1.18 ; 1114.0107421875 ; 2675.5068359375 ; 3933.1796875
-88.79 ; 8.51 ; 1.17 ; 1114.416259765625 ; 2681.8515625 ; 3933.0927734375
-88.77 ; 8.6 ; 1.15 ; 1114.8310546875 ; 2688.1962890625 ; 3933.005859375
-88.75 ; 8.7 ; 1.14 ; 1115.257568359375 ; 2694.7158203125 ; 3932.83203125
-88.74 ; 8.79 ; 1.12 ; 1115.693603515625 ; 2701.060546875 ; 3932.7451171875
-88.72 ; 8.88 ; 1.1 ; 1116.1396484375 ; 2707.4052734375 ; 3932.658203125
-88.71 ; 8.95 ; 1.09 ; 1116.597412109375 ; 2713.75 ; 3932.658203125
-88.69 ; 9.02 ; 1.07 ; 1117.0645751953125 ; 2720.1826171875 ; 3932.5712890625
-88.69 ; 9.02 ; 1.06 ; 1117.5419921875 ; 2726.52734375 ; 3932.484375
-88.68 ; 9.0 ; 1.06 ; 1118.0294189453125 ; 2732.8720703125 ; 3932.3974609375
-88.66 ; 8.92 ; 1.04 ; 1118.5247802734375 ; 2739.3046875 ; 3932.310546875
-88.65 ; 8.83 ; 1.03 ; 1119.0255126953125 ; 2745.6494140625 ; 3932.2236328125
-88.65 ; 8.72 ; 1.01 ; 1119.531005859375 ; 2751.994140625 ; 3932.13671875
-88.63 ; 8.59 ; 1.01 ; 1120.03955078125 ; 2758.3388671875 ; 3931.962890625
-88.63 ; 8.41 ; 1.0 ; 1120.5489501953125 ; 2764.6845703125 ; 3931.8759765625
-88.61 ; 8.23 ; 0.98 ; 1121.0574951171875 ; 2771.029296875 ; 3931.7021484375
-88.61 ; 8.03 ; 0.96 ; 1121.563720703125 ; 2777.4609375 ; 3931.615234375
-88.6 ; 7.83 ; 0.95 ; 1122.064453125 ; 2783.806640625 ; 3931.5283203125
-88.6 ; 7.63 ; 0.95 ; 1122.5582275390625 ; 2790.1513671875 ; 3931.3544921875
-88.58 ; 7.43 ; 0.93 ; 1123.0433349609375 ; 2796.49609375 ; 3931.267578125
-88.58 ; 7.24 ; 0.92 ; 1123.5191650390625 ; 2802.8408203125 ; 3931.09375
-88.57 ; 7.06 ; 0.9 ; 1123.983154296875 ; 2809.1865234375 ; 3931.0068359375
-88.57 ; 6.91 ; 0.89 ; 1124.436279296875 ; 2815.53125 ; 3931.0068359375
-88.55 ; 6.79 ; 0.87 ; 1124.8760986328125 ; 2821.8759765625 ; 3930.74609375
-88.55 ; 6.77 ; 0.87 ; 1125.303466796875 ; 2828.2216796875 ; 3930.6591796875
-88.54 ; 6.83 ; 0.85 ; 1125.71826171875 ; 2834.56640625 ; 3930.4853515625
-88.52 ; 6.94 ; 0.84 ; 1126.123779296875 ; 2840.998046875 ; 3930.3115234375
-88.52 ; 7.13 ; 0.82 ; 1126.5206298828125 ; 2847.3427734375 ; 3930.224609375
-88.5 ; 7.38 ; 0.81 ; 1126.91357421875 ; 2853.6884765625 ; 3930.05078125
-88.49 ; 7.68 ; 0.79 ; 1127.304931640625 ; 2860.1201171875 ; 3929.876953125
-88.47 ; 7.99 ; 0.78 ; 1127.69873046875 ; 2866.46484375 ; 3929.703125
-88.46 ; 8.3 ; 0.76 ; 1128.097900390625 ; 2872.810546875 ; 3929.529296875
-88.44 ; 8.6 ; 0.75 ; 1128.5057373046875 ; 2879.2421875 ; 3929.4423828125
-88.44 ; 8.89 ; 0.75 ; 1128.92529296875 ; 2885.5869140625 ; 3929.2685546875
-88.43 ; 9.16 ; 0.73 ; 1129.35888671875 ; 2892.0185546875 ; 3929.0947265625
-88.41 ; 9.42 ; 0.71 ; 1129.8072509765625 ; 2898.3642578125 ; 3929.0078125
-88.41 ; 9.66 ; 0.7 ; 1130.2720947265625 ; 2904.708984375 ; 3928.833984375
-88.4 ; 9.88 ; 0.68 ; 1130.7532958984375 ; 2911.0537109375 ; 3928.66015625
-88.38 ; 10.09 ; 0.67 ; 1131.2532958984375 ; 2917.3994140625 ; 3928.486328125
